player,pos,team,games,rush_att,rush_yds,rush_avg,rush_tds,rec_tgt,rec,rec_yds,rec_yds_g,rec_avg,rec_tds,fumbles_lost,site_pts,site_fppg,src_id,data_src,id,bye,opp,draft_rank,misc_tds,misc_yds,pct_owned,return_tds,fumble_TD
Kyle Monangai,RB,CHI,NA,8,39,NA,0,2,1,11,NA,NA,0,NA,NA,NA,4608686,ESPN,17066,NA,NA,NA,NA,NA,NA,NA,NA
Devin Neal,RB,NO,NA,1,6,NA,0,1,1,5,NA,NA,0,NA,NA,NA,4682652,ESPN,17046,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Mitchell,RB,KCC,NA,4,20,NA,0,0,0,2,NA,NA,0,NA,NA,NA,4241555,ESPN,15263,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Mostert,RB,LV,NA,3,13,NA,0,1,1,6,NA,NA,0,NA,NA,NA,2576414,ESPN,12447,NA,NA,NA,NA,NA,NA,NA,NA
Isaac Guerendo,RB,SF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4372561,ESPN,16688,NA,NA,NA,NA,NA,NA,NA,NA
Jarquez Hunter,RB,LAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4710341,ESPN,17064,NA,NA,NA,NA,NA,NA,NA,NA
Chris Rodriguez Jr.,RB,WAS,NA,3,10,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4362619,ESPN,16174,NA,NA,NA,NA,NA,NA,NA,NA
Emanuel Wilson,RB,GB,NA,7,31,NA,0,2,1,10,NA,NA,0,NA,NA,NA,4887558,ESPN,16432,NA,NA,NA,NA,NA,NA,NA,NA
Sean Tucker,RB,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4430871,ESPN,16166,NA,NA,NA,NA,NA,NA,NA,NA
Emari Demercado,RB,ARI,NA,1,8,NA,0,1,1,8,NA,NA,0,NA,NA,NA,4362478,ESPN,16385,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Davis,RB,NYJ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4695404,ESPN,16752,NA,NA,NA,NA,NA,NA,NA,NA
Kalel Mullings,RB,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429121,ESPN,17050,NA,NA,NA,NA,NA,NA,NA,NA
Keaton Mitchell,RB,BAL,NA,1,7,NA,0,0,0,1,NA,NA,0,NA,NA,NA,4596334,ESPN,16178,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Juszczyk,RB,SF,NA,0,1,NA,0,1,1,8,NA,NA,0,NA,NA,NA,16002,ESPN,11367,NA,NA,NA,NA,NA,NA,NA,NA
Chris Brooks,RB,GB,NA,NA,NA,NA,NA,1,0,3,NA,NA,0,NA,NA,NA,3149687,ESPN,16387,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Etienne,RB,CAR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4685350,ESPN,17056,NA,NA,NA,NA,NA,NA,NA,NA
Alec Ingold,RB,MIA,NA,0,1,NA,0,1,1,5,NA,NA,0,NA,NA,NA,3917668,ESPN,14420,NA,NA,NA,NA,NA,NA,NA,NA
Brashard Smith,RB,KCC,NA,5,25,NA,0,3,2,18,NA,NA,0,NA,NA,NA,4596602,ESPN,17049,NA,NA,NA,NA,NA,NA,NA,NA
Jaleel McLaughlin,RB,DEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4722893,ESPN,16390,NA,NA,NA,NA,NA,NA,NA,NA
Zamir White,RB,LV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4361777,ESPN,15714,NA,NA,NA,NA,NA,NA,NA,NA
Tahj Brooks,RB,CIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429299,ESPN,17058,NA,NA,NA,NA,NA,NA,NA,NA
Devin Singletary,RB,NYG,NA,6,24,NA,0,2,1,8,NA,NA,0,NA,NA,NA,4040761,ESPN,14080,NA,NA,NA,NA,NA,NA,NA,NA
Dare Ogunbowale,RB,HOU,NA,NA,NA,NA,NA,1,0,4,NA,NA,0,NA,NA,NA,2983509,ESPN,13148,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Luepke,RB,DAL,NA,0,1,NA,0,1,1,4,NA,NA,0,NA,NA,NA,4383396,ESPN,16391,NA,NA,NA,NA,NA,NA,NA,NA
AJ Dillon,RB,PHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4239934,ESPN,14805,NA,NA,NA,NA,NA,NA,NA,NA
Julius Chestnut,RB,TEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4367567,ESPN,15965,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Goodson,RB,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4429676,ESPN,15730,NA,NA,NA,NA,NA,NA,NA,NA
LeQuint Allen Jr.,RB,JAC,NA,0,2,NA,0,1,1,3,NA,NA,0,NA,NA,NA,4911851,ESPN,17061,NA,NA,NA,NA,NA,NA,NA,NA
Jeremy McNichols,RB,WAS,NA,2,6,NA,0,4,3,20,NA,NA,0,NA,NA,NA,3127586,ESPN,13143,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,NA,16.9,83.4,NA,0.6,NA,5.6,51.6,NA,NA,0.4,0.1,19.1,NA,16393,FantasyPros,13130,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan Taylor,RB,IND,NA,18.5,92.1,NA,1.1,NA,2.9,21.8,NA,NA,0.2,0.1,18.7,NA,19217,FantasyPros,14802,NA,NA,NA,NA,NA,NA,NA,NA
Jahmyr Gibbs,RB,DET,NA,15.6,76.5,NA,0.8,NA,3.4,27.6,NA,NA,0.2,0.1,16,NA,22968,FantasyPros,16162,NA,NA,NA,NA,NA,NA,NA,NA
Josh Jacobs,RB,GB,NA,17.3,72,NA,1,NA,2.3,21,NA,NA,0.1,0.1,15.7,NA,18269,FantasyPros,14073,NA,NA,NA,NA,NA,NA,NA,NA
De'Von Achane,RB,MIA,NA,14.1,67.1,NA,0.4,NA,5.1,35.4,NA,NA,0.4,0.1,14.9,NA,23136,FantasyPros,16167,NA,NA,NA,NA,NA,NA,NA,NA
Bijan Robinson,RB,ATL,NA,15,69.5,NA,0.4,NA,4.6,44,NA,NA,0.2,0.1,14.9,NA,23133,FantasyPros,16161,NA,NA,NA,NA,NA,NA,NA,NA
James Cook III,RB,BUF,NA,17.5,84.6,NA,0.6,NA,2.2,17.7,NA,NA,0.1,0.1,14.7,NA,22958,FantasyPros,15715,NA,NA,NA,NA,NA,NA,NA,NA
Derrick Henry,RB,BAL,NA,15.8,83.9,NA,0.8,NA,1.1,10.4,NA,NA,0.1,0.1,14.6,NA,15514,FantasyPros,12626,NA,NA,NA,NA,NA,NA,NA,NA
Kyren Williams,RB,LAR,NA,16.5,75,NA,0.7,NA,2.4,17.1,NA,NA,0.2,0.1,14.1,NA,23059,FantasyPros,15710,NA,NA,NA,NA,NA,NA,NA,NA
Javonte Williams,RB,DAL,NA,16,72.5,NA,0.7,NA,2.8,14,NA,NA,0.1,0.1,13.4,NA,22739,FantasyPros,15256,NA,NA,NA,NA,NA,NA,NA,NA
D'Andre Swift,RB,CHI,NA,14.8,69.4,NA,0.6,NA,2.5,21.8,NA,NA,0.1,0.1,13.3,NA,19210,FantasyPros,14797,NA,NA,NA,NA,NA,NA,NA,NA
Ashton Jeanty,RB,LV,NA,17.4,72.3,NA,0.5,NA,2.3,16.4,NA,NA,0.2,0.1,12.8,NA,25989,FantasyPros,17042,NA,NA,NA,NA,NA,NA,NA,NA
Kimani Vidal,RB,LAC,NA,16,72.5,NA,0.5,NA,1.9,12.8,NA,NA,0.1,0.1,12.2,NA,26355,FantasyPros,16757,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Warren,RB,PIT,NA,13.7,62.7,NA,0.3,NA,3.2,24.6,NA,NA,0.1,0.1,11.4,NA,24209,FantasyPros,15742,NA,NA,NA,NA,NA,NA,NA,NA
Travis Etienne Jr.,RB,JAC,NA,15.3,66,NA,0.4,NA,2.3,16.3,NA,NA,0.1,0.1,11,NA,19231,FantasyPros,15253,NA,NA,NA,NA,NA,NA,NA,NA
Chase Brown,RB,CIN,NA,13,56.2,NA,0.4,NA,3,19.5,NA,NA,0.1,0.1,10.6,NA,25324,FantasyPros,16181,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Walker III,RB,SEA,NA,13.3,58.7,NA,0.5,NA,1.7,13.6,NA,NA,0.1,0.1,10.4,NA,23021,FantasyPros,15711,NA,NA,NA,NA,NA,NA,NA,NA
Rhamondre Stevenson,RB,NE,NA,12.7,52.8,NA,0.5,NA,2.1,16,NA,NA,0.1,0.2,10.1,NA,22726,FantasyPros,15259,NA,NA,NA,NA,NA,NA,NA,NA
Tyrone Tracy Jr.,RB,NYG,NA,14.4,58.8,NA,0.3,NA,2.5,18.5,NA,NA,0.1,0.1,10.1,NA,22980,FantasyPros,16747,NA,NA,NA,NA,NA,NA,NA,NA
J.K. Dobbins,RB,DEN,NA,14.2,64.6,NA,0.4,NA,1.4,7.5,NA,NA,0.1,0.1,9.9,NA,19245,FantasyPros,14800,NA,NA,NA,NA,NA,NA,NA,NA
Jacory Croskey-Merritt,RB,WAS,NA,13,55,NA,0.5,NA,1.3,10.8,NA,NA,0.1,0.2,9.5,NA,27316,FantasyPros,17256,NA,NA,NA,NA,NA,NA,NA,NA
David Montgomery,RB,DET,NA,11.4,45.5,NA,0.5,NA,1.6,13.8,NA,NA,0,0,9.4,NA,18239,FantasyPros,14071,NA,NA,NA,NA,NA,NA,NA,NA
Zach Charbonnet,RB,SEA,NA,10.7,43.1,NA,0.6,NA,1.4,11.6,NA,NA,0.1,0,9,NA,23152,FantasyPros,16169,NA,NA,NA,NA,NA,NA,NA,NA
Rico Dowdle,RB,CAR,NA,13.5,59,NA,0.3,NA,1.7,11.7,NA,NA,0.1,0.1,8.9,NA,19647,FantasyPros,14823,NA,NA,NA,NA,NA,NA,NA,NA
Alvin Kamara,RB,NO,NA,14.6,52.9,NA,0.2,NA,3.3,20.1,NA,NA,0.1,0.1,8.7,NA,16421,FantasyPros,13132,NA,NA,NA,NA,NA,NA,NA,NA
Zonovan Knight,RB,ARI,NA,9.5,47.5,NA,0.4,NA,1.3,10.8,NA,NA,0.1,0.1,8.6,NA,24901,FantasyPros,15727,NA,NA,NA,NA,NA,NA,NA,NA
Woody Marks,RB,HOU,NA,10.8,40.1,NA,0.3,NA,2.2,19.3,NA,NA,0.1,0.1,8.3,NA,27520,FantasyPros,17053,NA,NA,NA,NA,NA,NA,NA,NA
Tony Pollard,RB,TEN,NA,12,50.7,NA,0.2,NA,1.9,11.7,NA,NA,0,0.1,7.6,NA,18705,FantasyPros,14085,NA,NA,NA,NA,NA,NA,NA,NA
Isiah Pacheco,RB,KC,NA,9.9,46,NA,0.3,NA,1.6,9.5,NA,NA,0.1,0,7.6,NA,24333,FantasyPros,15749,NA,NA,NA,NA,NA,NA,NA,NA
Aaron Jones Sr.,RB,MIN,NA,9.1,40.8,NA,0.2,NA,2.4,18.5,NA,NA,0.1,0.1,7.6,NA,16673,FantasyPros,13319,NA,NA,NA,NA,NA,NA,NA,NA
Tyjae Spears,RB,TEN,NA,7.5,36.2,NA,0.2,NA,2.2,14.7,NA,NA,0.1,0,6.8,NA,25323,FantasyPros,16165,NA,NA,NA,NA,NA,NA,NA,NA
TreVeyon Henderson,RB,NE,NA,8.6,35.2,NA,0.2,NA,1.7,12.9,NA,NA,0.1,0.1,6.5,NA,23065,FantasyPros,17043,NA,NA,NA,NA,NA,NA,NA,NA
Kenneth Gainwell,RB,PIT,NA,7.4,30.7,NA,0.3,NA,2.4,13.6,NA,NA,0.1,0.1,6.5,NA,23310,FantasyPros,15255,NA,NA,NA,NA,NA,NA,NA,NA
Jordan Mason,RB,MIN,NA,9.1,42.1,NA,0.3,NA,0.9,5.7,NA,NA,0,0.1,6.5,NA,22969,FantasyPros,15972,NA,NA,NA,NA,NA,NA,NA,NA
Nick Chubb,RB,HOU,NA,10,39.7,NA,0.3,NA,1.1,7.8,NA,NA,0,0,6.4,NA,17246,FantasyPros,13610,NA,NA,NA,NA,NA,NA,NA,NA
Chuba Hubbard,RB,CAR,NA,9.8,35.9,NA,0.2,NA,1.5,8.3,NA,NA,0.1,0,6,NA,19792,FantasyPros,15261,NA,NA,NA,NA,NA,NA,NA,NA
Samaje Perine,RB,CIN,NA,6.5,35.2,NA,0.2,NA,1.3,10.1,NA,NA,0,0.1,5.9,NA,16423,FantasyPros,13133,NA,NA,NA,NA,NA,NA,NA,NA
Kareem Hunt,RB,KC,NA,7,26.3,NA,0.3,NA,1,6.4,NA,NA,0.1,0,5.6,NA,16425,FantasyPros,13138,NA,NA,NA,NA,NA,NA,NA,NA
Michael Carter,RB,ARI,NA,5.6,28.1,NA,0.2,NA,1.7,11.7,NA,NA,0.1,0,5.6,NA,22728,FantasyPros,15258,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Monangai,RB,CHI,NA,6.3,29.2,NA,0.2,NA,0.9,8.1,NA,NA,0,0,5.3,NA,27131,FantasyPros,17066,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Allgeier,RB,ATL,NA,7.9,29.3,NA,0.3,NA,0.7,4.8,NA,NA,0,0,5.2,NA,24172,FantasyPros,15712,NA,NA,NA,NA,NA,NA,NA,NA
Blake Corum,RB,LAR,NA,7.5,30.4,NA,0.2,NA,0.7,5.2,NA,NA,0,0,5.1,NA,23013,FantasyPros,16593,NA,NA,NA,NA,NA,NA,NA,NA
Emanuel Wilson,RB,GB,NA,5.9,28.6,NA,0.2,NA,1.2,8.8,NA,NA,0.1,0,5.1,NA,25885,FantasyPros,16432,NA,NA,NA,NA,NA,NA,NA,NA
RJ Harvey,RB,DEN,NA,5.9,22.8,NA,0.2,NA,1.6,11,NA,NA,0.1,0,4.9,NA,27142,FantasyPros,17068,NA,NA,NA,NA,NA,NA,NA,NA
Justice Hill,RB,BAL,NA,2.7,13.6,NA,0.1,NA,2.5,21.1,NA,NA,0.1,0,4.8,NA,18256,FantasyPros,14086,NA,NA,NA,NA,NA,NA,NA,NA
Bhayshul Tuten,RB,JAC,NA,5.7,23.2,NA,0.2,NA,0.9,7.7,NA,NA,0.1,0,4.6,NA,27297,FantasyPros,17052,NA,NA,NA,NA,NA,NA,NA,NA
Devin Singletary,RB,NYG,NA,6.5,28.1,NA,0.2,NA,0.9,5.8,NA,NA,0,0,4.5,NA,18280,FantasyPros,14080,NA,NA,NA,NA,NA,NA,NA,NA
Ollie Gordon II,RB,MIA,NA,5.3,21.3,NA,0.2,NA,0.9,6.6,NA,NA,0.1,0,4.1,NA,25984,FantasyPros,17059,NA,NA,NA,NA,NA,NA,NA,NA
Hassan Haskins,RB,LAC,NA,5.6,22.1,NA,0.2,NA,0.8,5.8,NA,NA,0,0.1,4,NA,23798,FantasyPros,15720,NA,NA,NA,NA,NA,NA,NA,NA
Jaydon Blue,RB,DAL,NA,5.5,20.9,NA,0.2,NA,0.7,5.5,NA,NA,0.1,0.1,3.8,NA,24344,FantasyPros,17069,NA,NA,NA,NA,NA,NA,NA,NA
Jeremy McNichols,RB,WAS,NA,2.8,13.4,NA,0.1,NA,1.7,12.3,NA,NA,0.1,0,3.6,NA,16445,FantasyPros,13143,NA,NA,NA,NA,NA,NA,NA,NA
Brashard Smith,RB,KC,NA,3.7,15.5,NA,0.1,NA,1.5,11.4,NA,NA,0.1,0,3.6,NA,27259,FantasyPros,17049,NA,NA,NA,NA,NA,NA,NA,NA
Brian Robinson Jr.,RB,SF,NA,5.4,22.3,NA,0.1,NA,0.4,3.3,NA,NA,0,0,3.4,NA,20094,FantasyPros,15716,NA,NA,NA,NA,NA,NA,NA,NA
Raheem Mostert,RB,LV,NA,3.9,16.8,NA,0.2,NA,0.7,5,NA,NA,0,0,3.3,NA,14338,FantasyPros,12447,NA,NA,NA,NA,NA,NA,NA,NA
Emari Demercado,RB,ARI,NA,2.7,15.8,NA,0.1,NA,1.3,8.8,NA,NA,0.1,0.1,3.3,NA,25654,FantasyPros,16385,NA,NA,NA,NA,NA,NA,NA,NA
Devin Neal,RB,NO,NA,3.2,15.9,NA,0.1,NA,0.8,5.9,NA,NA,0,0,2.8,NA,23682,FantasyPros,17046,NA,NA,NA,NA,NA,NA,NA,NA
Ty Johnson,RB,BUF,NA,2.1,11.1,NA,0,NA,0.8,7.9,NA,NA,0.1,0,2.6,NA,18406,FantasyPros,14095,NA,NA,NA,NA,NA,NA,NA,NA
Ameer Abdullah,RB,IND,NA,2,9.4,NA,0.1,NA,0.6,3.9,NA,NA,0,0,2,NA,13924,FantasyPros,12155,NA,NA,NA,NA,NA,NA,NA,NA
Ray Davis,RB,BUF,NA,2.2,9,NA,0.1,NA,0.5,4,NA,NA,0.1,0,2,NA,26191,FantasyPros,16603,NA,NA,NA,NA,NA,NA,NA,NA
Keaton Mitchell,RB,BAL,NA,2.4,12.5,NA,0.1,NA,0.3,2.6,NA,NA,0,0,1.9,NA,25360,FantasyPros,16178,NA,NA,NA,NA,NA,NA,NA,NA
Chris Rodriguez Jr.,RB,WAS,NA,2.7,10.1,NA,0.1,NA,0.1,0.4,NA,NA,0,0,1.5,NA,22986,FantasyPros,16174,NA,NA,NA,NA,NA,NA,NA,NA
MarShawn Lloyd,RB,GB,NA,1.7,7.4,NA,0.1,NA,0.4,2.5,NA,NA,0,0,1.5,NA,23118,FantasyPros,16604,NA,NA,NA,NA,NA,NA,NA,NA
Phil Mafah,RB,DAL,NA,1.7,7.3,NA,0.1,NA,0.2,1.5,NA,NA,0,0,1.5,NA,22928,FantasyPros,17063,NA,NA,NA,NA,NA,NA,NA,NA
Kyle Juszczyk,RB,SF,NA,0.4,1.4,NA,0,NA,1,8.9,NA,NA,0.1,0,1.4,NA,11798,FantasyPros,11367,NA,NA,NA,NA,NA,NA,NA,NA
LeQuint Allen Jr.,RB,JAC,NA,1,5.7,NA,0,NA,0.7,5.3,NA,NA,0,0,1.4,NA,27285,FantasyPros,17061,NA,NA,NA,NA,NA,NA,NA,NA
Jaylen Wright,RB,MIA,NA,2.5,8.6,NA,0,NA,0.3,1.8,NA,NA,0,0,1.4,NA,25987,FantasyPros,16610,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Badie,RB,DEN,NA,1.4,6.2,NA,0,NA,0.8,6.1,NA,NA,0,0.1,1.3,NA,23812,FantasyPros,15718,NA,NA,NA,NA,NA,NA,NA,NA
Chris Brooks,RB,GB,NA,1.3,5.9,NA,0,NA,0.5,3.7,NA,NA,0,0,1.2,NA,25823,FantasyPros,16387,NA,NA,NA,NA,NA,NA,NA,NA
Roschon Johnson,RB,CHI,NA,1.4,5.1,NA,0.1,NA,0.1,0.8,NA,NA,0,0,1,NA,25322,FantasyPros,16175,NA,NA,NA,NA,NA,NA,NA,NA
Kaleb Johnson,RB,PIT,NA,1.8,6.1,NA,0,NA,0.1,0.8,NA,NA,0,0,0.9,NA,27165,FantasyPros,17048,NA,NA,NA,NA,NA,NA,NA,NA
Isaac Guerendo,RB,SF,NA,1.2,5.2,NA,0,NA,0.1,1.1,NA,NA,0,0,0.9,NA,26392,FantasyPros,16688,NA,NA,NA,NA,NA,NA,NA,NA
Zavier Scott,RB,MIN,NA,1.5,5.8,NA,0,NA,0.2,1.6,NA,NA,0,0,0.9,NA,25748,FantasyPros,17337,NA,NA,NA,NA,NA,NA,NA,NA
George Holani,RB,SEA,NA,1.2,4.5,NA,0,NA,0.3,2.1,NA,NA,0,0,0.8,NA,22915,FantasyPros,16608,NA,NA,NA,NA,NA,NA,NA,NA
Ty Chandler,RB,MIN,NA,0.9,4.1,NA,0.1,NA,0.1,0.5,NA,NA,0,0,0.8,NA,19471,FantasyPros,15723,NA,NA,NA,NA,NA,NA,NA,NA
DJ Giddens,RB,IND,NA,1,4,NA,0,NA,0,0.4,NA,NA,0,0,0.7,NA,27097,FantasyPros,17060,NA,NA,NA,NA,NA,NA,NA,NA
Rasheen Ali,RB,BAL,NA,0.7,3.6,NA,0.1,NA,0.1,0.4,NA,NA,0,0,0.7,NA,25983,FantasyPros,16746,NA,NA,NA,NA,NA,NA,NA,NA
Julius Chestnut,RB,TEN,NA,0.8,4.5,NA,0,NA,0.1,1,NA,NA,0,0,0.7,NA,24689,FantasyPros,15965,NA,NA,NA,NA,NA,NA,NA,NA
Elijah Mitchell,RB,KC,NA,1,3.8,NA,0.1,NA,0.1,0.1,NA,NA,0,0,0.7,NA,22813,FantasyPros,15263,NA,NA,NA,NA,NA,NA,NA,NA
Trevor Etienne,RB,CAR,NA,1,4,NA,0,NA,0.3,1.7,NA,NA,0,0,0.7,NA,25393,FantasyPros,17056,NA,NA,NA,NA,NA,NA,NA,NA
Craig Reynolds,RB,DET,NA,1,3.7,NA,0,NA,0.1,0.7,NA,NA,0,0,0.6,NA,19074,FantasyPros,14727,NA,NA,NA,NA,NA,NA,NA,NA
Jarquez Hunter,RB,LAR,NA,0.9,3.5,NA,0,NA,0,0.4,NA,NA,0,0,0.6,NA,24335,FantasyPros,17064,NA,NA,NA,NA,NA,NA,NA,NA
Jaret Patterson,RB,LAC,NA,0.7,2.8,NA,0,NA,0.3,1.7,NA,NA,0,0,0.6,NA,20155,FantasyPros,15260,NA,NA,NA,NA,NA,NA,NA,NA
Jordan James,RB,SF,NA,1,3.4,NA,0,NA,0.1,0.7,NA,NA,0,0,0.6,NA,27310,FantasyPros,17055,NA,NA,NA,NA,NA,NA,NA,NA
Alec Ingold,RB,MIA,NA,0.3,0.9,NA,0,NA,0.5,4,NA,NA,0,0,0.6,NA,18571,FantasyPros,14420,NA,NA,NA,NA,NA,NA,NA,NA
Tahj Brooks,RB,CIN,NA,0.6,4.2,NA,0,NA,0.1,0.6,NA,NA,0,0,0.6,NA,26212,FantasyPros,17058,NA,NA,NA,NA,NA,NA,NA,NA
Dare Ogunbowale,RB,HOU,NA,0.5,2,NA,0,NA,0.3,2.4,NA,NA,0,0,0.5,NA,16879,FantasyPros,13148,NA,NA,NA,NA,NA,NA,NA,NA
Patrick Ricard,RB,BAL,NA,0,0,NA,0,NA,0.2,1.9,NA,NA,0.1,0,0.5,NA,17145,FantasyPros,13455,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Luepke,RB,DAL,NA,0.4,1.4,NA,0,NA,0.4,2.8,NA,NA,0,0,0.5,NA,25941,FantasyPros,16391,NA,NA,NA,NA,NA,NA,NA,NA
Dylan Laube,RB,LV,NA,1.2,3,NA,0,NA,0.1,0.9,NA,NA,0,0,0.5,NA,26194,FantasyPros,16613,NA,NA,NA,NA,NA,NA,NA,NA
Jaleel McLaughlin,RB,DEN,NA,1,3.9,NA,0,NA,0.1,0.5,NA,NA,0,0,0.4,NA,25876,FantasyPros,16390,NA,NA,NA,NA,NA,NA,NA,NA
Zamir White,RB,LV,NA,0.8,3.2,NA,0,NA,0.1,0.6,NA,NA,0,0,0.4,NA,20095,FantasyPros,15714,NA,NA,NA,NA,NA,NA,NA,NA
British Brooks,RB,HOU,NA,0.9,3.5,NA,0,NA,0.1,0.6,NA,NA,0,0,0.4,NA,26748,FantasyPros,16816,NA,NA,NA,NA,NA,NA,NA,NA
Kalel Mullings,RB,TEN,NA,0.8,3.4,NA,0,NA,0.1,0.6,NA,NA,0,0,0.4,NA,27045,FantasyPros,17050,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Goodson,RB,IND,NA,1,3.3,NA,0,NA,0.1,0.3,NA,NA,0,0,0.4,NA,22976,FantasyPros,15730,NA,NA,NA,NA,NA,NA,NA,NA
Eric Gray,RB,NYG,NA,0.9,1.5,NA,0,NA,0.1,0.9,NA,NA,0,0,0.2,NA,23075,FantasyPros,16173,NA,NA,NA,NA,NA,NA,NA,NA
C.J. Ham,RB,MIN,NA,0.1,0.5,NA,0,NA,0.3,1.5,NA,NA,0,0,0.2,NA,16209,FantasyPros,12923,NA,NA,NA,NA,NA,NA,NA,NA
Dameon Pierce,RB,HOU,NA,0.9,1.9,NA,0,NA,0,0.2,NA,NA,0,0,0.2,NA,22947,FantasyPros,15717,NA,NA,NA,NA,NA,NA,NA,NA
Adam Prentice,RB,DEN,NA,0.3,1.5,NA,0,NA,0.1,0.2,NA,NA,0,0,0.2,NA,23451,FantasyPros,15650,NA,NA,NA,NA,NA,NA,NA,NA
DeeJay Dallas,RB,CAR,NA,0.4,0.9,NA,0,NA,0.1,0.4,NA,NA,0,0,0.1,NA,19521,FantasyPros,14815,NA,NA,NA,NA,NA,NA,NA,NA
Sione Vaki,RB,DET,NA,0,0.2,NA,0,NA,0.1,1,NA,NA,0,0,0.1,NA,26309,FantasyPros,16678,NA,NA,NA,NA,NA,NA,NA,NA
Jakob Johnson,RB,HOU,NA,0.1,0.4,NA,0,NA,0.1,0.5,NA,NA,0,0,0.1,NA,18673,FantasyPros,14359,NA,NA,NA,NA,NA,NA,NA,NA
Christian McCaffrey,RB,SF,NA,16.9,83.4,NA,0.6,5.6,5.6,51.6,NA,NA,0.3,0.1,19.12,NA,12892,FleaFlicker,13130,4,@NYGSun 1:00 PM,RB3,1,135,99%,NA,NA
Jonathan Taylor,RB,IND,NA,18.5,92.2,NA,1.1,2.9,2.9,21.8,NA,NA,0.1,0.1,18.72,NA,15604,FleaFlicker,14802,1,@PITSun 1:00 PM,RB2,1.2,114,99%,NA,NA
Jahmyr Gibbs,RB,DET,NA,15.6,76.5,NA,0.8,3.4,3.4,27.6,NA,NA,0.2,0.1,16.01,NA,17612,FleaFlicker,16162,8,MINSun 1:00 PM,RB4,1,104,98%,NA,NA
Josh Jacobs,RB,GB,NA,17.3,72,NA,1,2.3,2.3,21,NA,NA,0.1,0.1,15.72,NA,14673,FleaFlicker,14073,5,CARSun 1:00 PM,RB5,1.1,93,98%,NA,NA
De'Von Achane,RB,MIA,NA,14.2,67.1,NA,0.4,5.1,5.1,35.4,NA,NA,0.4,0.1,14.93,NA,17617,FleaFlicker,16167,2,BALThu 8:15 PM,RB9,0.8,102.5,98%,NA,NA
Bijan Robinson,RB,ATL,NA,15,69.5,NA,0.4,4.6,4.6,44,NA,NA,0.2,0.1,14.89,NA,17603,FleaFlicker,16161,5,@NESun 1:00 PM,RB1,0.6,113.5,98%,NA,NA
James Cook,RB,BUF,NA,17.5,84.6,NA,0.7,2.2,2.2,17.8,NA,NA,0.1,0.1,14.67,NA,16839,FleaFlicker,15715,7,KCSun 4:25 PM,RB8,0.8,102.3,98%,NA,NA
Derrick Henry,RB,BAL,NA,15.8,83.9,NA,0.8,1.1,1.1,10.4,NA,NA,0.1,0.1,14.63,NA,12042,FleaFlicker,12626,7,@MIAThu 8:15 PM,RB6,0.9,94.3,98%,NA,NA
Kyren Williams,RB,LAR,NA,16.4,75,NA,0.7,2.4,2.4,17.1,NA,NA,0.2,0.1,14.16,NA,17004,FleaFlicker,15710,8,NOSun 4:05 PM,RB12,0.9,92.1,98%,NA,NA
Javonte Williams,RB,DAL,NA,16,72.5,NA,0.7,2.8,2.8,14,NA,NA,0.1,0.1,13.45,NA,16282,FleaFlicker,15256,0,ARIMon 8:15 PM,RB13,0.8,86.5,97%,NA,NA
D'Andre Swift,RB,CHI,NA,14.8,69.4,NA,0.6,2.5,2.5,21.8,NA,NA,0.1,0.1,13.34,NA,15601,FleaFlicker,14797,5,@CINSun 1:00 PM,RB20,0.7,91.2,96%,NA,NA
